BabyId,FirsttimeParent,Crying date,Crying time,Crying seconds,Feeding date,Feeding time,Bottle amount,PumpingDate,PumpingTimePumpingLeftPumpingRight,Pumping Left,PumpingRight,SleepingDate,SleepingTime,SleepingSecond
HPT2_NR_18,1,05-08-2015,18:00:00,1800,05-08-2015,18:00:00,165,05-08-2015,18:00:00,NA,NA,05-08-2015,18:00:00,3600
HPT2_NR_18,1,05-08-2015,19:30:00,1800,05-08-2015,19:30:00,150,05-08-2015,19:30:00,NA,NA,05-08-2015,19:30:00,6300
HPT2_NR_18,1,05-08-2015,22:15:00,12600,05-08-2015,22:15:00,110,05-08-2015,22:15:00,NA,NA,05-08-2015,22:15:00,22500
HPT2_NR_18,1,06-08-2015,05:00:00,900,06-08-2015,05:00:00,165,06-08-2015,05:00:00,NA,NA,06-08-2015,05:00:00,7200
HPT2_NR_18,1,06-08-2015,08:15:00,600,06-08-2015,08:15:00,165,06-08-2015,08:15:00,NA,NA,06-08-2015,08:15:00,13500
HPT2_NR_18,1,06-08-2015,13:05:00,1800,06-08-2015,13:05:00,165,06-08-2015,13:05:00,NA,NA,06-08-2015,13:05:00,12300
HPT2_NR_18,1,06-08-2015,18:30:00,2400,06-08-2015,18:30:00,165,06-08-2015,18:30:00,NA,NA,06-08-2015,18:30:00,14400
HPT2_NR_18,1,06-08-2015,23:00:00,1500,06-08-2015,23:00:00,140,06-08-2015,23:00:00,NA,NA,06-08-2015,23:00:00,23400
HPT2_NR_18,1,07-08-2015,05:50:00,1200,07-08-2015,05:50:00,165,07-08-2015,05:50:00,NA,NA,07-08-2015,05:50:00,11400
HPT2_NR_18,1,07-08-2015,10:19:29,600,07-08-2015,10:19:29,110,07-08-2015,10:19:29,NA,NA,07-08-2015,10:19:29,8460
HPT2_NR_18,1,07-08-2015,13:45:00,2700,07-08-2015,13:45:00,165,07-08-2015,13:45:00,NA,NA,07-08-2015,13:45:00,7200
HPT2_NR_18,1,07-08-2015,16:30:00,600,07-08-2015,16:30:00,110,07-08-2015,16:30:00,NA,NA,07-08-2015,16:30:00,10800
HPT2_NR_18,1,07-08-2015,20:45:00,600,07-08-2015,20:45:00,155,07-08-2015,20:45:00,NA,NA,07-08-2015,20:45:00,9900
HPT2_NR_18,1,08-08-2015,00:00:00,NA,08-08-2015,00:00:00,140,08-08-2015,00:00:00,NA,NA,08-08-2015,00:00:00,16200
HPT2_NR_18,1,08-08-2015,04:50:00,NA,08-08-2015,04:50:00,165,08-08-2015,04:50:00,NA,NA,08-08-2015,04:50:00,15900
HPT2_NR_18,1,08-08-2015,10:30:00,NA,08-08-2015,10:30:00,135,08-08-2015,10:30:00,NA,NA,08-08-2015,10:30:00,10800
HPT2_NR_18,1,08-08-2015,14:30:00,NA,08-08-2015,14:30:00,165,08-08-2015,14:30:00,NA,NA,08-08-2015,14:30:00,10800
HPT2_NR_18,1,08-08-2015,19:00:00,NA,08-08-2015,19:00:00,140,08-08-2015,19:00:00,NA,NA,08-08-2015,19:00:00,12600
HPT2_NR_18,1,08-08-2015,23:00:00,NA,08-08-2015,23:00:00,165,08-08-2015,23:00:00,NA,NA,08-08-2015,23:00:00,25740
HPT2_NR_18,1,09-08-2015,06:45:00,NA,09-08-2015,06:45:00,150,09-08-2015,06:45:00,NA,NA,09-08-2015,06:45:00,10800
HPT2_NR_18,1,09-08-2015,11:00:00,NA,09-08-2015,11:00:00,165,09-08-2015,11:00:00,NA,NA,09-08-2015,11:00:00,12600
HPT2_NR_18,1,09-08-2015,15:30:00,NA,09-08-2015,15:30:00,165,09-08-2015,15:30:00,NA,NA,09-08-2015,15:30:00,2700
HPT2_NR_18,1,09-08-2015,16:30:00,NA,09-08-2015,16:30:00,70,09-08-2015,16:30:00,NA,NA,09-08-2015,16:30:00,6600
HPT2_NR_18,1,09-08-2015,18:45:00,NA,09-08-2015,18:45:00,165,09-08-2015,18:45:00,NA,NA,09-08-2015,18:45:00,6000
HPT2_NR_18,1,09-08-2015,20:35:49,NA,09-08-2015,20:35:49,165,09-08-2015,20:35:49,NA,NA,09-08-2015,20:35:49,6600
HPT2_NR_18,1,09-08-2015,23:00:00,NA,09-08-2015,23:00:00,165,09-08-2015,23:00:00,NA,NA,09-08-2015,23:00:00,19800
HPT2_NR_18,1,10-08-2015,05:00:00,NA,10-08-2015,05:00:00,165,10-08-2015,05:00:00,NA,NA,10-08-2015,05:00:00,10800
HPT2_NR_18,1,10-08-2015,09:30:00,NA,10-08-2015,09:30:00,165,10-08-2015,09:30:00,NA,NA,10-08-2015,09:30:00,10800
HPT2_NR_18,1,10-08-2015,13:20:00,NA,10-08-2015,13:20:00,165,10-08-2015,13:20:00,NA,NA,10-08-2015,13:20:00,9600
HPT2_NR_18,1,10-08-2015,23:30:00,NA,10-08-2015,23:30:00,165,10-08-2015,23:30:00,NA,NA,10-08-2015,23:30:00,25200
HPT2_NR_18,1,11-08-2015,08:00:00,NA,11-08-2015,08:00:00,165,11-08-2015,08:00:00,NA,NA,11-08-2015,08:00:00,3600
HPT2_NR_18,1,11-08-2015,09:30:00,NA,11-08-2015,09:30:00,165,11-08-2015,09:30:00,NA,NA,11-08-2015,09:30:00,3600
HPT2_NR_18,1,11-08-2015,11:30:00,NA,11-08-2015,11:30:00,70,11-08-2015,11:30:00,NA,NA,11-08-2015,11:30:00,5400
HPT2_NR_18,1,11-08-2015,14:00:00,NA,11-08-2015,14:00:00,80,11-08-2015,14:00:00,NA,NA,11-08-2015,14:00:00,3600
HPT2_NR_18,1,11-08-2015,16:00:00,NA,11-08-2015,16:00:00,165,11-08-2015,16:00:00,NA,NA,11-08-2015,16:00:00,9000
HPT2_NR_18,1,11-08-2015,20:00:00,NA,11-08-2015,20:00:00,165,11-08-2015,20:00:00,NA,NA,11-08-2015,20:00:00,10800
HPT2_NR_18,1,11-08-2015,23:40:00,NA,11-08-2015,23:40:00,150,11-08-2015,23:40:00,NA,NA,11-08-2015,23:40:00,15600
HPT2_NR_18,1,12-08-2015,04:45:00,NA,12-08-2015,04:45:00,165,12-08-2015,04:45:00,NA,NA,12-08-2015,04:45:00,5400
HPT2_NR_18,1,12-08-2015,07:15:00,NA,12-08-2015,07:15:00,70,12-08-2015,07:15:00,NA,NA,12-08-2015,07:15:00,4500
HPT2_NR_18,1,12-08-2015,08:57:00,NA,12-08-2015,08:57:00,125,12-08-2015,08:57:00,NA,NA,12-08-2015,08:57:00,7200
HPT2_NR_18,1,12-08-2015,11:40:00,NA,12-08-2015,11:40:00,165,12-08-2015,11:40:00,NA,NA,12-08-2015,11:40:00,3840
HPT2_NR_18,1,12-08-2015,13:20:00,NA,12-08-2015,13:20:00,165,12-08-2015,13:20:00,NA,NA,12-08-2015,13:20:00,6000
HPT2_NR_18,1,12-08-2015,16:15:00,NA,12-08-2015,16:15:00,165,12-08-2015,16:15:00,NA,NA,12-08-2015,16:15:00,9900
HPT2_NR_18,1,12-08-2015,23:20:00,NA,12-08-2015,23:20:00,110,12-08-2015,23:20:00,NA,NA,12-08-2015,23:20:00,20400
HPT2_NR_18,1,13-08-2015,05:30:00,NA,13-08-2015,05:30:00,110,13-08-2015,05:30:00,NA,NA,13-08-2015,05:30:00,5400
HPT2_NR_18,1,13-08-2015,08:15:00,NA,13-08-2015,08:15:00,135,13-08-2015,08:15:00,NA,NA,13-08-2015,08:15:00,8400
HPT2_NR_18,1,13-08-2015,12:00:00,NA,13-08-2015,12:00:00,165,13-08-2015,12:00:00,NA,NA,13-08-2015,12:00:00,5400
HPT2_NR_18,1,13-08-2015,15:20:00,NA,13-08-2015,15:20:00,200,13-08-2015,15:20:00,NA,NA,13-08-2015,15:20:00,2400
